code,year,name,local_path
688320,2023,禾川科技,
603488,2023,展鹏科技,
688027,2023,国盾量子,
600319,2023,亚星化学,
688707,2023,振华新材,
688020,2023,方邦股份,
300274,2023,久日新材,
600308,2023,华泰股份,
688501,2023,青达环保,
600552,2023,凯盛科技,
688360,2023,德马科技,
601615,2023,明阳智能,
600782,2023,新钢股份,
603768,2023,常青股份,
688183,2023,生益电子,
688697,2023,纽威数控,
600241,2023,时代万恒,
000703,2023,恒逸石化,
002050,2023,三花智控,
603055,2023,台华新材,
603008,2023,喜临门,
300398,2023,飞凯材料,
300398,2021,飞凯材料,
300398,2022,飞凯材料,
603685,2023,晨丰科技,
600609,2023,金杯汽车,
688733,2023,壹石通,
688199,2023,久日新材,
002569,2021,ST步森,
002569,2022,ST步森,
002569,2023,ST步森,
600965,2023,福成股份,
688165,2023,埃夫特,
688355,2023,明志科技,
688377,2023,迪威尔,
688510,2023,航亚科技,
830974,2022,凯大催化,
830974,2023,凯大催化,
831856,2023,浩淼科技,
834475,2023,三友科技,
839719,2023,宁新新材,
873576,2023,天力复合,
